Planet_Name,Planet_Detection_Method,Planet_Mass,Planet_Radius,Planet_Period,Planet_Semimajor_Axis,Planet_Gravity,Planet_Density,Planet_Hill_Sphere,Planet_Distance,Planet_Periastron,Planet_Apastron,Planet_Flux,Planet_Equilibrium_Temperature,Planet_Surface_Temperature,Planet_Type,Planet_Habitability_Zone_Location,Planet_Temperature_Type,Planet_Habitability,Planet_Earth_Similarity_Index,Star_Name,Star_Magnitude,Star_Distance,Star_Temperature,Star_Mass,Star_Radius,Star_Temperature_Type,Star_Luminosity,Star_Snow_Line
Teegarden's Star c,Radial Velocity,1.05,1.02,11.416,0.0455,1.0092272,0.98943845,0.00095674818,0.0455364,0.04368,0.04732,0.34940163,195.79453,221.11916,Terran,1,Warm,1,0.65900478,Teegarden's Star,15.13,3.83078,3034,0.1,0.12,M,0.0007227698,0.072587822
Kepler-705 b,Transit,5.1,2.11,56.056054,0.232,1.1455268,0.54290371,0.0049359566,0.232,0.232,0.232,0.76563897,238.28995,269.11105,Superterran,1,Warm,2,0.73073671,Kepler-705,16.331,276.881,3722,0.53,0.51,M,0.041209752,0.548105
Kepler-452 b,Transit,3.29,1.63,384.843,1.046,1.2382852,0.75968418,0.015359289,1.046,1.046,1.046,1.109013,261.41702,295.22945,Superterran,1,Warm,2,0.8267185,Kepler-452,13.54,551.727,5757,1.04,1.11,G,1.2133889,2.9741561
Kepler-1649 c,Transit,1.2,1.06,19.53527,0.0649,1.0679957,1.0075431,0.0011796333,0.0649,0.0649,0.0649,1.2260568,268.05713,302.7284,Terran,1,Warm,1,0.9252979,Kepler-1649,17.95,92.1913,3240,0.2,0.23,M,0.0051641637,0.19402771
K2-9 b,Transit,5.69,2.25,18.4498,0.091,1.1239506,0.49953361,0.0024274874,0.091,0.091,0.091,1.4484957,279.46602,315.61296,Superterran,1,Warm,2,0.6987684,K2-9,15.86,82.9631,3390,0.3,0.31,M,0.011994993,0.29570847
GJ 367 d,Radial Velocity,6.03,2.33,34.369,0.15966392,1.1107222,0.47670483,0.0032384982,0.16122863,0.13731097,0.18201687,1.145209,262.54969,296.50862,Superterran,1,Warm,2,0.71355472,GJ 367,10.153,9.41263,3522,0.46,0.46,M,0.028906799,0.45905399
Kepler-1544 b,Transit,3.82,1.78,168.81117,0.5421,1.2056559,0.67733475,0.0090933541,0.5421,0.5421,0.5421,0.84302642,244.09563,275.66766,Superterran,1,Warm,2,0.79266351,Kepler-1544,14.287,335.09,4886,0.81,0.74,K,0.24774221,1.3438901
Kepler-1410 b,Transit,3.82,1.78,60.866168,0.2543,1.2056559,0.67733475,0.0046384464,0.2543,0.2543,0.2543,1.0747496,259.37405,292.92224,Superterran,1,Warm,2,0.79997417,Kepler-1410,16.319,367,4092,0.63,0.6,K,0.069502432,0.71180947
Kepler-1540 b,Transit,6.76,2.49,125.41312,0.4426,1.090305,0.43787349,0.0092548273,0.4426,0.4426,0.4426,0.77620633,239.10794,270.03485,Superterran,1,Warm,2,0.68524014,Kepler-1540,14.429,244.96,4540,0.74,0.69,K,0.15205475,1.0528434
Kepler-1606 b,Transit,4.94,2.07,196.43522,0.6421,1.1528857,0.55694962,0.011329639,0.6421,0.6421,0.6421,1.6360428,288.10339,325.36751,Superterran,1,Warm,2,0.70025387,Kepler-1606,15.396,831.287,5422,0.9,0.86,G,0.67452803,2.2175007
Kepler-1653 b,Transit,5.35,2.17,140.2524,0.4706,1.1361464,0.52356979,0.009185672,0.4706,0.4706,0.4706,1.0439896,257.49793,290.80345,Superterran,1,Warm,2,0.73857407,Kepler-1653,15.864,755,4807,0.72,0.69,K,0.23120648,1.2982662
HD 216520 c,Radial Velocity,9.44,3.03,154.43,0.528,1.0282216,0.33934707,0.010494326,0.5318016,0.46464,0.59136,1.2760915,270.01655,304.94126,Superterran,1,Warm,2,0.63363284,HD 216520,7.53,19.552,5103,0.82,0.76,K,0.35318317,1.6045888
Kepler-296 f,Transit,3.89,1.8,63.33627,0.255,1.2006173,0.6670096,0.0033863104,0.26888475,0.17085,0.33915,0.43949751,203.01764,229.27652,Superterran,1,Warm,2,0.65849997,Kepler-296,16.363,167,3740,0.5,0.48,M,0.026977394,0.44346951
TRAPPIST-1 g,Transit,1.321,1.129,12.352446,0.04683,1.0363702,0.91795415,0.0011445249,0.046830101,0.046732594,0.046927406,0.25232055,180.54585,203.89817,Terran,1,Warm,1,0.57566382,TRAPPIST-1,17.02,12.429889,2566,0.09,0.12,M,0.00055335011,0.063513166
Kepler-283 c,Transit,3.97,1.82,92.743711,0.341,1.1985267,0.65853118,0.006403529,0.341,0.341,0.341,0.8943165,247.72653,279.76819,Superterran,1,Warm,2,0.79063717,Kepler-283,16.216,468.094,4351,0.6,0.57,K,0.10399202,0.87069042
K2-18 b,Transit,8.92,2.37,32.939623,0.1429,1.5880646,0.67006945,0.0033337133,0.145758,0.11432,0.17148,1.2641538,268.06253,302.73451,Superterran,1,Warm,2,0.70093768,K2-18,13.477,38.0266,3457,0.36,0.41,M,0.02529298,0.4294017
TRAPPIST-1 d,Transit,0.388,0.788,4.049219,0.02227,0.62485506,0.79296327,0.00035951598,0.02227078,0.0220836,0.0224564,1.1157703,261.81089,295.67425,Subterran,1,Warm,1,0.90766241,TRAPPIST-1,17.02,12.429889,2566,0.09,0.12,M,0.00055335011,0.063513166
GJ 1002 b,Radial Velocity,1.08,1.03,10.3465,0.0457,1.0180036,0.98835299,0.0009508579,0.0457,0.0457,0.0457,0.67323642,230.74995,260.59581,Terran,1,Warm,1,0.86151546,GJ 1002,13.76,4.84867,3024,0.12,0.14,M,0.0014060475,0.10124271
Wolf 1061 c,Radial Velocity,3.41,1.66,17.8719,0.089,1.23748,0.7454699,0.0018017065,0.08953845,0.07921,0.09879,1.2967716,271.22218,306.30284,Superterran,1,Warm,2,0.80218752,Wolf 1061,10.1,4.30592,3342,0.29,0.31,M,0.010209395,0.27281219
GJ 682 b,Radial Velocity,4.4,1.93,17.478,0.08,1.1812398,0.61204133,0.0018664916,0.080256,0.0736,0.0864,0.31348317,190.38411,215.00894,Superterran,1,Warm,2,0.56760583,GJ 682,10.94,5.00671,3028,0.27,0.3,M,0.0019998619,0.1207435
HIP 38594 b,Radial Velocity,8.1,2.77,60.722,0.256,1.0556634,0.38110593,0.0050329394,0.2596992,0.21248,0.29952,1.342419,272.70254,307.97467,Superterran,1,Warm,2,0.65229637,HIP 38594,9.75,17.7886,4086.3,0.61,0.63,M,0.086696188,0.79499384
GJ 667 C e,Radial Velocity,2.7,1.45,62.24,0.213,1.2841855,0.88564517,0.0042073393,0.2130426,0.20874,0.21726,0.30222311,188.86394,213.29214,Terran,1,Warm,1,0.59946584,GJ 667 C,10.602,7.24396,3350,0.33,0.42929613,M,0.013708818,0.31612858
GJ 667 C f,Radial Velocity,2.7,1.45,39.026,0.156,1.2841855,0.88564517,0.0030499884,0.1560702,0.15132,0.16068,0.563568,220.68,249.22338,Terran,1,Warm,1,0.76372993,GJ 667 C,10.602,7.24396,3350,0.33,0.42929613,M,0.013708818,0.31612858
TRAPPIST-1 e,Transit,0.692,0.92,6.101013,0.02925,0.81758034,0.88867428,0.00057452872,0.02925038,0.029100825,0.029399175,0.64677602,228.44732,257.99535,Terran,1,Warm,1,0.84549451,TRAPPIST-1,17.02,12.429889,2566,0.09,0.12,M,0.00055335011,0.063513166
Kepler-1701 b,Transit,5.57,2.222,169.134,0.5608,1.1281506,0.50771855,0.010416102,0.5608,0.5608,0.5608,1.4170461,277.93658,313.88569,Superterran,1,Warm,2,0.70536871,Kepler-1701,14.722,584.142,5146,0.87,0.84,K,0.44565625,1.8024522
Kepler-62 e,Transit,36,1.61,122.3874,0.427,13.888353,8.6263063,0.015959928,0.427,0.427,0.427,1.1511827,263.86742,297.99679,Superterran,1,Warm,2,0.82742754,Kepler-62,13.965,300.874,4925,0.69,0.64,K,0.20989399,1.2369831
