Planet's Name,Planet's Detection Method,Planet's Mass,Planet's Radius,Planet's Period,Planet's Semimajor Axis,Planet's Gravity,Planet's Density,Planet's Hill Sphere,Planet's Distance,Planet's Periastron,Planet's Apastron,Planet's Flux,Planet's Equilibrium Temperature,Planet's Surface Temperature,Planet's Type,Planet's Habitability Zone Location,Planet's Temperature Type,Planet's Habitability,Planet's Earth Similarity Index,Star's Name,Star's Magnitude,Star's Distance,Star's Temperature,Star's Mass,Star's Radius,Star's Temperature Type,Star's Luminosity,Star's Snow Line
Kepler-898 b,Transit,2.83,1.49,5.8706191,0.0545,1.2747174,0.855515,0.00089016964,0.0545,0.0545,0.0545,44.895932,659.40382,744.693,Terran,0,Hot,0,0.30953986,Kepler-898,16.695,484.891,4223,0.65,0.62,K,0.13335214,0.98597014
HD 93351 b,Radial Velocity,3.49611,1.69,2.45946,0.035,1.2240853,0.72431082,0.0002446333,0.040274518,0.015785,0.054215,624.81282,1192.9524,1347.2523,Superterran,0,Hot,0,0.27219041,HD 93351,9.12,56.163,5408,0.94,0.91,G,0.63973484,2.1595525
HD 111232 b,Radial Velocity,2531.5033,12.6,1169.132,2.148,15.945473,1.2655137,0.23331598,2.1971849,1.688328,2.607672,0.15314782,157.9698,,Jovian,0,Cold,0,0.2041272,HD 111232,7.59,28.9571,5512,0.96,0.9,G,0.6902398,2.2431781
WD 0806-661 b,Imaging,2542.6273,12.6,,2500,16.015541,1.2710747,400.27235,2500,2500,2500,,,,Jovian,0,,0,,WD 0806-661,13.855,19.2444,9552,0.62,,WD,,
HD 16175 b,Radial Velocity,1875.1876,12.8,990,2.12,11.445237,0.89415913,0.088879201,2.5016,0.848,3.392,0.89585617,228.57889,,Jovian,1,Warm,0,0.39412606,HD 16175,7.297,59.859,5981,1.63,1.72,G,3.2210688,4.8457808
Kepler-104 c,Transit,7.14431,3.13,23.668205,0.153,0.7292419,0.23298463,0.0031491414,0.153,0.153,0.153,52.434501,685.49453,,Neptunian,0,Hot,0,0.22781832,Kepler-104,12.697,400.785,5711,0.82,1.35,G,1.2274392,2.9913261
Kepler-444 e,Transit,0.1,0.546,7.743493,0.0696,0.3354399,0.61435878,0.00031868807,0.069948,0.06264,0.07656,77.976533,755.56691,,Miniterran,0,Hot,0,0.2801979,Kepler-444,8.87,36.4396,5046,0.76,0.75,K,0.3758374,1.6552506
Kepler-113 c,Transit,8.7,2.18,8.92507,0.077909,1.830654,0.83974953,0.0017641095,0.077909,0.077909,0.077909,43.734558,655.09743,739.8296,Superterran,0,Hot,0,0.27533636,Kepler-113,13.655,262.351,4725,0.75,0.69,K,0.26546056,1.3911173
Kepler-106 c,Transit,10.44,2.5,13.5708,0.109803,1.6704,0.66816,0.0024004885,0.109803,0.109803,0.109803,100.40876,806.38531,910.68549,Superterran,0,Hot,0,0.24348891,Kepler-106,12.923,444.322,5858,1,1.04,G,1.2105981,2.970734
HATS-69 b,Transit,183.38791,10.593,2.2252577,0.03211,1.6343037,0.15428148,0.00091249577,0.036434591,0.01544491,0.04877509,545.59196,1162.4404,,Jovian,0,Hot,0,0.084188369,HATS-69,14.074,414.537,5137,0.89,0.88,K,0.48083935,1.8722497
