Planet's Name,Planet's Detection Method,Planet's Mass,Planet's Radius,Planet's Period,Planet's Semimajor Axis,Planet's Gravity,Planet's Density,Planet's Hill Sphere,Planet's Distance,Planet's Periastron,Planet's Apastron,Planet's Flux,Planet's Equilibrium Temperature,Planet's Surface Temperature,Planet's Type,Planet's Habitability Zone Location,Planet's Temperature Type,Planet's Habitability,Planet's Earth Similarity Index,Star's Name,Star's Magnitude,Star's Distance,Star's Temperature,Star's Mass,Star's Radius,Star's Temperature Type,Star's Luminosity,Star's Snow Line
TOI-1411 b,Transit,2.42,1.36,1.4520358,0.023,1.308391,0.96205221,0.00036827101,0.023,0.023,0.023,248.05291,1010.9642,1141.7252,Terran,0,Hot,0,0.29032656,TOI-1411,10.51,32.4778,4266,0.59,0.66,K,0.13121999,0.9780561
HATS-55 b,Transit,292.72143,14.022,4.2042001,0.05412,1.4887939,0.10617558,0.003071284,0.054349036,0.04914096,0.05909904,580.93853,1248.6495,,Jovian,0,Hot,0,0.066033248,HATS-55,13.525,609.838,6214,1.2,1.13,F,1.6943378,3.5145018
Kepler-210 b,Transit,8.96,2.94,2.453234,0.032,1.0366051,0.35258677,0.00072533893,0.032,0.032,0.032,155.13152,899.03111,,Neptunian,0,Hot,0,0.21993962,Kepler-210,14.126,232.75,4559,0.77,0.65,M,0.15885467,1.0761276
K2-26 b,Transit,7.61,2.67,14.5665,0.0962,1.0674859,0.39980744,0.0022962854,0.0962,0.0962,0.0962,5.2923658,386.37781,,Neptunian,0,Hot,0,0.42017375,K2-26,14.528,99.0504,3785,0.56,0.52,M,0.048977882,0.59753557
Kepler-107 c,Transit,10,1.597,4.901452,0.06064,3.9209397,2.4551908,0.0011190729,0.060834048,0.0557888,0.0654912,630.77696,1275.1054,1440.0312,Terran,0,Hot,0,0.27663158,Kepler-107,12.543,525.997,5854,1.24,1.45,G,2.3120648,4.1054783
WASP-12 b,Transit,465.62095,21.712,1.09142,0.0232,0.98771774,0.04549179,0.0015251475,0.023223178,0.02216296,0.02423704,7352.8947,2358.0415,,Jovian,0,Hot,0,0.043158281,WASP-12,11.569,427.246,6360,1.43,1.66,F,3.9536662,5.3686336
LHS 1678 b,Transit,0.35,0.685,0.8602325,0.01239,0.74591081,1.0889209,0.00011984402,0.012396746,0.01198113,0.01279887,94.426521,793.93416,896.62388,Subterran,0,Hot,0,0.29520568,LHS 1678,12.6,19.8782,3490,0.35,0.33,M,0.014487719,0.32498534
LHS 1678 c,Transit,1.4,0.941,3.694284,0.0327,1.5810616,1.680193,0.00049897224,0.032724868,0.0314247,0.0339753,13.55923,488.69121,551.89993,Terran,0,Hot,0,0.38964985,LHS 1678,12.6,19.8782,3490,0.35,0.33,M,0.014487719,0.32498534
TOI-1994 b,Transit,7024.0078,13.675,4.0337142,0.0613,37.560409,2.7466478,0.0062924796,0.064864013,0.0403967,0.0822033,4730.6624,2064.7159,,Jovian,0,Hot,0,0.06588109,TOI-1994,10.514,515.603,7700,1.86,2.3,A,16.710906,11.037323
TOI-4515 b,Transit,637,12.17,15.266446,0.118,4.3008894,0.35340094,0.0055683684,0.13053874,0.063602,0.172398,47.002017,638.30668,,Jovian,0,Hot,0,0.095083692,TOI-4515,11.938,193.499,5433,0.95,0.86,G,0.58076442,2.0576133
LHS 1678 d,Transit,0.907,0.981,4.9652229,0.04,0.94247377,0.96072759,0.00052978788,0.04002592,0.03856,0.04144,9.0606973,441.85983,499.01125,Terran,0,Hot,0,0.43342078,LHS 1678,12.6,19.8782,3490,0.35,0.33,M,0.014487719,0.32498534
HIP 99770 b,Imaging,5117.0373,12.2,18600,16.9,34.37945,2.8179877,1.7797083,17.428125,12.675,21.125,0.050146538,119.10525,,Jovian,0,Cold,0,0.12306223,HIP 99770,4.94292,40.0765,8000,1.85,1.94,A,13.867558,10.054576
KMT-2021-BLG-2478L b,Microlensing,286.04557,13.9,,1.85,1.4804905,0.10651011,0.20849328,1.85,1.85,1.85,,,,Jovian,0,,0,,KMT-2021-BLG-2478L,,2970,,0.2,,,,
Kepler-762 b,Transit,107.14106,12.68,3.7705521,0.0493,0.66637306,0.05255308,0.0022971121,0.0493,0.0493,0.0493,855.66972,1377.7685,,Jovian,0,Hot,0,0.071476283,Kepler-762,15.574,1898.26,5944,1.06,1.08,G,2.0796967,3.8937114
K2-330 b,Transit,8.1,2.77,13.774798,0.12046701,1.0556634,0.38110593,0.0022586382,0.12046701,0.12046701,0.12046701,206.66349,965.86327,,Neptunian,0,Hot,0,0.22499765,K2-330,9.608,160.125,6232,1.23,1.5,F,2.9991625,4.6758844
HD 17674 b,Radial Velocity,276.5121,13.9,623.8,1.42,1.431148,0.10296029,0.081050469,1.431999,1.2354,1.6046,0.80190785,240.295,,Jovian,1,Warm,0,0.38289124,HD 17674,7.535,44.4264,5904,0.98,1.18,G,1.6032454,3.4187218
HD 177830 c,Radial Velocity,47.6725,7.87,110.9,0.5137,0.76969464,0.097801098,0.011470342,0.5368165,0.35959,0.66781,19.233582,524.19292,,Neptunian,0,Hot,0,0.1597733,HD 177830,7.18,62.7674,4949,1.47,2.62,K,4.8417237,5.9410576
HD 179079 b,Radial Velocity,25.74423,5.48,14.479,0.1214,0.8572723,0.15643655,0.0032641953,0.12154574,0.1154514,0.1273486,162.96135,909.75647,,Neptunian,0,Hot,0,0.14743661,HD 179079,7.95,69.7116,5646,1.14,1.63,G,2.3988329,4.1818049
bet Pic b,Imaging,3727.8094,18.495,8617.5095,10.018,10.897955,0.58923792,1.1419073,10.074281,8.956092,11.079908,0.089927314,139.20451,,Jovian,0,Cold,0,0.13324067,bet Pic,3.85,19.7442,8038.68,1.8,1.54,A,8.9742879,8.0884213
HD 175167 b,Radial Velocity,2037.5979,12.7,1276.076,2.307,12.633132,0.99473483,0.13808537,2.6285773,1.088904,3.525096,0.63222568,213.97618,,Jovian,1,Warm,0,0.37545603,HD 175167,8.01,71.0863,5635,1,1.75,G,2.8575905,4.5641905
HD 72659 c,Radial Velocity,5977.081,12.1,18207.721,13.959,40.824268,3.3739064,2.2381593,14.016797,12.688731,15.229269,0.012248899,84.614986,,Jovian,0,Cold,0,0.086176143,HD 72659,7.46,51.8949,5932,1.09,1.46,G,2.3768403,4.1625912
HD 13724 c,Radial Velocity,50.85255,8.18,142.22895,0.534,0.75998694,0.092907939,0.0069064708,0.64715487,0.186366,0.881634,5.2436203,349.10445,,Jovian,0,Hot,0,0.2673027,HD 13724,7.89,43.465,5835.31,1,1.04,G,1.1350108,2.8764959
HD 142 b,Radial Velocity,396.96768,13.7,351.43394,1.039,2.1150177,0.15438086,0.060353549,1.0519688,0.874838,1.203162,2.794207,327.80063,,Jovian,0,Hot,0,0.30357412,HD 142,5.7,26.1853,6245,1.21,1.47,G,2.9785164,4.6597623
HD 151450 c,Radial Velocity,1636.1806,12.8,18144.762,14.131,9.9864541,0.78019173,1.3743823,14.265555,12.180922,16.081078,0.0086065569,77.31143,,Jovian,0,Cold,0,0.078775909,HD 151450,7.43,43.6002,6091.98,1.14,1.17,F,1.7021585,3.5226035
HD 32963 b,Radial Velocity,657.9048,13.4,2372,3.41,3.6639831,0.27343157,0.28164431,3.4183545,3.1713,3.6487,0.09989825,143.08343,,Jovian,0,Cold,0,0.15999731,HD 32963,7.6,38.0786,5727,0.94,1.11,G,1.1587774,2.9064561
Kepler-247 d,Transit,14.7,3.94,20.477912,0.14,0.9469453,0.24034145,0.0036357385,0.14,0.14,0.14,19.308295,533.99316,,Neptunian,0,Hot,0,0.2361517,Kepler-247,15.199,663.711,5100,0.84,0.77,K,0.37844258,1.6609776
Kepler-55 b,Transit,43,2.43,27.948145,0.1593,7.2820878,2.9967439,0.0065467629,0.1593,0.1593,0.1593,6.8009322,411.37872,464.58762,Superterran,0,Hot,0,0.39717959,Kepler-55,15.746,578.796,4362,0.62,0.58,K,0.17258379,1.1216665
HD 185269 b,Radial Velocity,321.0083,13.8,6.83776,0.077,1.6856138,0.12214593,0.0037255293,0.079018979,0.059367,0.094633,856.47644,1364.3023,,Jovian,0,Hot,0,0.066369515,HD 185269,6.67973,51.9917,5923,1.3,2,G,4.9431069,6.0029367
Kepler-33 f,Transit,9.6,4.46,41.02902,0.2535,0.48261578,0.10820982,0.0049505911,0.2535,0.2535,0.2535,55.981441,696.80415,,Neptunian,0,Hot,0,0.18372528,Kepler-33,14.099,1209.16,5904,1.29,1.82,G,3.5974934,5.121106
HR 2562 b,Imaging,9534.9,12.442,,20.3,61.593623,4.95046,3.945229,20.3,20.3,20.3,0.0082415315,76.754119,,Jovian,0,Cold,0,0.080181139,HR 2562,6.11,34.0071,6785,1.3,1.47,F,3.3962527,4.9758097
Kepler-1891 b,Transit,2.93,1.521,4.0222902,0.0473,1.2665117,0.83268354,0.00070918985,0.0473,0.0473,0.0473,262.58972,1025.461,1158.097,Terran,0,Hot,0,0.28320419,Kepler-1891,14.412,596.24,5516,0.87,0.83,G,0.58748935,2.0694921
Kepler-1753 b,Transit,5.59,2.227,16.004601,0.1179,1.1271232,0.50611727,0.0022009162,0.1179,0.1179,0.1179,19.814011,537.45587,606.97195,Superterran,0,Hot,0,0.30659205,Kepler-1753,15.59,707.688,5180,0.86,0.77,K,0.27542287,1.4169801
TOI-1260 d,Transit,11.84,3.12,16.608164,0.1116,1.2163051,0.38984137,0.0028933238,0.1116,0.1116,0.1116,10.367442,457.10673,,Neptunian,0,Hot,0,0.31303266,TOI-1260,11.922,73.5977,4227,0.68,0.67,K,0.12912193,0.97020557
Ross 458 c,Imaging,1906.98,14.011,,1100,9.7142186,0.693328,165.53785,1100,1100,1100,4.16E-08,3.6383407,,Jovian,0,Cold,0,0.064243554,Ross 458,9.76,11.5094,3965.42,0.56,0.56,M,0.050350061,0.60584812
OGLE-2016-BLG-0613L AB b,Microlensing,1330,13,,6.4,7.8698225,0.60537096,0.78548568,6.4,6.4,6.4,,,,Jovian,0,,0,,OGLE-2016-BLG-0613L AB,,3410,,0.72,,,,
HD 10180 c,Radial Velocity,13.1,3.68,5.75969,0.06412,0.96733223,0.26286202,0.0013746126,0.064290848,0.05943924,0.06880076,363.22292,1110.9848,,Neptunian,0,Hot,0,0.18852746,HD 10180,7.33,38.9607,5911,1.06,1.11,G,1.4893611,3.2950633
GJ 3512 c,Radial Velocity,63.56568,9.32,1599.6,1.292,0.73179742,0.078519036,0.10265349,1.2922163,1.2683564,1.3156436,0.00094090918,44.612788,,Jovian,0,Cold,0,0.092750222,GJ 3512,15.18,9.48637,3081,0.12,0.14,M,0.0015703628,0.10699507
Kepler-1937 b,Transit,9.39,3.023,9.6885996,0.0943,1.0275177,0.33989999,0.0018778886,0.0943,0.0943,0.0943,181.96029,935.60786,,Neptunian,0,Hot,0,0.21542256,Kepler-1937,14.163,905.069,6457,1.19,1.2,F,1.61808,3.4345019
HD 206255 b,Radial Velocity,34.2,6.47,96.045,0.461,0.81699151,0.1262738,0.01025391,0.47319345,0.35497,0.56703,21.697027,544.2428,,Neptunian,0,Hot,0,0.1730362,HD 206255,7.62,75.2363,5635,1.42,2.22,G,4.4874539,5.7195751
HD 113538 b,Radial Velocity,114.41,13.2,663.2,1.24,0.65662305,0.04974417,0.062094154,1.252152,1.0664,1.4136,0.059081971,125.12787,,Jovian,0,Cold,0,0.126086,HD 113538,9.05,16.2817,4462,0.58,0.53,K,0.089949758,0.80977388
HD 11964 b,Radial Velocity,198,14.1,1945,3.16,0.99592576,0.070633033,0.18231912,3.162656,3.03044,3.28956,0.28839728,186.621,,Jovian,0,Cold,0,0.27278078,HD 11964,6.41525,33.5369,5303,0.91,2.01,G,2.8773984,4.5799819
HD 20781 c,Radial Velocity,5.33,2.17,13.8905,0.1004,1.1318992,0.52161252,0.0017979188,0.10080662,0.091364,0.109436,48.786384,672.22168,759.16876,Superterran,0,Hot,0,0.27284997,HD 20781,8.48,35.9715,5256,0.7,0.83,K,0.48977882,1.8895734
K2-97 b,Transit,152.5584,10.61,8.406726,0.086,1.3552061,0.12772914,0.0033738823,0.0880812,0.06708,0.10492,1150.2067,1469.838,,Jovian,0,Hot,0,0.0830286,K2-97,12.486,878.43,4717,1.2,4.47,K,8.2985077,7.7779252
Kepler-672 b,Transit,6.8,2.5,38.377462,0.2163,1.088,0.4352,0.0041696878,0.2163,0.2163,0.2163,16.515319,513.53666,579.95896,Superterran,0,Hot,0,0.30417664,Kepler-672,15.513,1033.93,5627,0.95,0.92,G,0.77268059,2.3733608
HD 125595 b,Radial Velocity,6.3566,2.4,9.6737,0.08,1.1035764,0.4598235,0.002239499,0.08,0.08,0.08,37.741576,631.4002,713.06731,Superterran,0,Hot,0,0.26891624,HD 125595,9.03,28.1989,4691,0.29,0.74,K,0.24154608,1.3269781
TOI-1860 b,Transit,2.27,1.31,1.0662107,0.0204,1.3227667,1.0097456,0.00026907848,0.0204,0.0204,0.0204,1930.8106,1688.6305,1907.0428,Terran,0,Hot,0,0.28727991,TOI-1860,8.4,45.864,5752,0.99,0.94,G,0.80352612,2.4202697
Kepler-428 b,Transit,403.63,12.11,3.5256325,0.0433,2.7522961,0.22727466,0.0026153058,0.04434786,0.033774,0.052826,222.73937,975.04522,,Jovian,0,Hot,0,0.077946742,Kepler-428,15.362,686.284,5150,0.87,0.8,K,0.40738028,1.7233114
Kepler-619 b,Transit,10.1,3.16,5.4042722,0.0611,1.0114565,0.32008117,0.0012836839,0.0611,0.0611,0.0611,244.29669,1007.1151,,Neptunian,0,Hot,0,0.2083687,Kepler-619,14.84,900.678,5980,1.09,1.11,G,0.91201084,2.57848
Kepler-619 c,Transit,3.5,1.69,1.208465,0.0225,1.2254473,0.72511674,0.00033203328,0.0225,0.0225,0.0225,1801.5029,1659.6192,1874.2791,Superterran,0,Hot,0,0.27076164,Kepler-619,14.84,900.678,5980,1.09,1.11,G,0.91201084,2.57848
Kepler-68 c,Transit,1.3,0.979,9.605027,0.09008,1.3563694,1.3854641,0.0008689956,0.090521437,0.08116208,0.09899792,210.80553,968.87733,1094.1947,Terran,0,Hot,0,0.29952999,Kepler-68,10.077,144.166,5847,1.06,1.26,G,1.7021585,3.5226035
Kepler-718 b,Transit,41600,16.56,2.0523499,0.0322,151.69549,9.1603556,0.010561159,0.0322,0.0322,0.0322,1313.0711,1533.4576,,Jovian,0,Hot,0,0.056034967,Kepler-718,15.399,1302.33,6191,1.18,1.3,F,1.3614447,3.150386
HD 133131 A b,Radial Velocity,451.3186,13.6,649,1.44,2.4400876,0.1794182,0.075302446,1.518408,0.9648,1.9152,0.49126044,208.74814,,Jovian,1,Warm,0,0.34380867,HD 133131 A,7.66,51.4736,5799,0.95,0.96,G,0.96161228,2.6476694
HD 212771 b,Radial Velocity,759.6137,13.3,380.7,1.19,4.2942716,0.32287756,0.086528713,1.1934367,1.09956,1.28044,10.918525,462.56121,,Jovian,0,Hot,0,0.15371773,HD 212771,7.6,111.155,5003,1.56,5.27,G,15.417005,10.601413
K2-279 b,Transit,1.92,1.21,7.122605,0.067,1.3113858,1.0837899,0.00090105527,0.067,0.067,0.067,138.94739,874.60571,987.72972,Terran,0,Hot,0,0.29976742,K2-279,11.491,182.983,5558,0.79,0.86,G,0.62373484,2.1323759
HD 141399 e,Radial Velocity,209.7678,14.1,5000,5,1.0551169,0.074830989,0.2150001,5.169,3.7,6.3,0.065804995,127.34909,,Jovian,0,Cold,0,0.12795572,HD 141399,7.20856,37.0169,5600,1.07,1.39,K,1.5885467,3.4030142
HD 147018 b,Radial Velocity,674,13.4,44.236,0.2388,3.75362,0.28012089,0.011401625,0.26501856,0.12689832,0.35070168,14.117858,471.77579,,Jovian,0,Hot,0,0.13558511,HD 147018,8.3,40.4256,5441,0.93,0.94,G,0.71121351,2.2770038
HD 1502 b,Radial Velocity,874.0325,13.2,428.5,1.262,5.0162563,0.38001942,0.10309239,1.2626064,1.222878,1.301122,7.2793076,418.35401,,Jovian,0,Hot,0,0.18963924,HD 1502,8.36,190.953,4947,1.46,4.67,K,11.587774,9.1910211
HD 155358 b,Radial Velocity,314.6517,13.8,194.3,0.63,1.6522353,0.1197272,0.033955852,0.6391035,0.5229,0.7371,5.0896383,380.52999,,Jovian,0,Hot,0,0.22572555,HD 155358,7.28,43.6197,5905,1.15,1.38,G,1.9906733,3.809463
K2-204 b,Transit,9.51,3.046,7.055784,0.07221824,1.0249926,0.33650446,0.0015254051,0.07221824,0.07221824,0.07221824,343.32561,1096.5445,,Neptunian,0,Hot,0,0.21128785,K2-204,12.985,577.235,5755,1.01,1.18,G,1.7906059,3.6129651
K2-215 b,Transit,5.16,2.124,8.269648,0.080014299,1.1437752,0.53850057,0.0013830443,0.080014299,0.080014299,0.080014299,147.11765,887.18851,1001.94,Superterran,0,Hot,0,0.25749435,K2-215,12.99,403.964,5704,1,0.97,G,0.9418896,2.6203769
Kepler-450 c,Transit,12.5,2.62,15.413135,0.1324,1.8209895,0.69503414,0.0028424118,0.13242648,0.129752,0.135048,204.32001,963.04118,,Neptunian,0,Hot,0,0.23159852,Kepler-450,11.991,455.982,6197.21,1.19,1.64,F,3.5809644,5.1093278
K2-2016-BLG-0005L b,Microlensing,349.61125,13.7,4700,4.16,1.8627058,0.13596393,0.35150463,4.16,4.16,4.16,,,,Jovian,0,,0,,K2-2016-BLG-0005L,,5200,,0.58,,,,
Kepler-197 d,Transit,1.98,1.22,15.677563,0.119,1.3302876,1.0903996,0.0015246127,0.11905355,0.11543,0.12257,117.78815,839.07696,947.60557,Terran,0,Hot,0,0.30127592,Kepler-197,11.775,330.575,6004,0.86,1.12,F,1.6672472,3.486292
Kepler-93 b,Transit,4.66,1.478,4.7267398,0.05343,2.1332269,1.4433199,0.00092119576,0.05343,0.05343,0.05343,274.42878,1036.829,1170.9354,Terran,0,Hot,0,0.28489884,Kepler-93,9.996,95.9115,5669,0.91,0.92,G,0.78342964,2.3898121
NGTS-18 b,Transit,129.99182,13.563,3.05125,0.0448,0.70665022,0.052101322,0.0022700492,0.0448,0.0448,0.0448,927.77779,1405.9203,,Jovian,0,Hot,0,0.06729161,NGTS-18,14.588,1096.19,5610,1,1.39,G,1.8620871,3.6843745
GJ 806 c,Radial Velocity,5.8,2.28,6.64064,0.0523,1.1157279,0.48935435,0.0012652266,0.0523,0.0523,0.0523,9.505974,447.29997,505.15502,Superterran,0,Hot,0,0.36447091,GJ 806,10.79,12.0445,3600,0.41,0.41,M,0.026001596,0.43537528
TOI-2134 c,Transit,41.89,7.27,95.5,0.371,0.79257713,0.10902024,0.0047021807,0.45427095,0.12243,0.61957,1.8777466,267.9973,,Neptunian,1,Warm,0,0.4221411,TOI-2134,8.933,22.6202,4580,0.74,0.71,K,0.19186687,1.1826705
Kepler-91 b,Transit,257.4423,15.323,6.24658,0.0731,1.0964588,0.071556403,0.0040305067,0.073198451,0.06930611,0.07689389,3145.9437,1906.8558,,Jovian,0,Hot,0,0.059604068,Kepler-91,12.712,1294.69,4550,1.31,6.3,K,16.78804,11.062767
K2-43 c,Transit,6.44,2.42,2.198884,0.027432755,1.0996517,0.45440151,0.00061573193,0.027432755,0.027432755,0.027432755,81.556984,765.53491,864.55138,Superterran,0,Hot,0,0.25015655,K2-43,15.748,182.536,3840.6,0.57,0.54,M,0.061376201,0.66890396
K2-45 b,Transit,36.4,6.71,1.7292684,0.0224,0.80845592,0.12048523,0.0008420145,0.022512,0.02016,0.02464,364.49063,1110.9731,,Neptunian,0,Hot,0,0.12319641,K2-45,15.746,495.317,4103,0.5,0.45,K,0.18197009,1.1517647
K2-24 b,Transit,19,5.4,20.88977,0.154,0.6515775,0.1206625,0.0037776678,0.1542772,0.14476,0.16324,60.777341,710.79038,,Neptunian,0,Hot,0,0.16066823,K2-24,11.275,170.562,5625,1.07,1.16,G,1.4387986,3.2386481
K2-240 c,Transit,3.89,1.8,20.523,0.1159,1.2006173,0.6670096,0.0021862973,0.1159,0.1159,0.1159,3.9430577,358.96986,405.40005,Superterran,0,Hot,0,0.53302868,K2-240,13.372,72.9105,3810,0.58,0.54,M,0.052966344,0.62138929
K2-240 b,Transit,4.66,2,6.034,0.0513,1.165,0.5825,0.0010277526,0.0513,0.0513,0.0513,20.126362,539.56159,609.35003,Superterran,0,Hot,0,0.31782103,K2-240,13.372,72.9105,3810,0.58,0.54,M,0.052966344,0.62138929
K2-217 b,Transit,12.5,3.579,14.074524,0.11774152,0.97585798,0.27266219,0.0026478131,0.11774152,0.11774152,0.11774152,123.06675,848.46688,,Neptunian,0,Hot,0,0.19836426,K2-217,12.264,381.878,5967,1.1,1.33,G,1.7060824,3.5266614
K2-219 d,Transit,7.16,2.576,11.137278,0.09822658,1.0789997,0.41886632,0.0018812733,0.09822658,0.09822658,0.09822658,146.73778,886.61525,,Neptunian,0,Hot,0,0.23601744,K2-219,12.09,325.4,5753,1.02,1.19,G,1.4157938,3.2126526
K2-229 c,Transit,21.3,2.03,8.32727,0.0769,5.1687738,2.546194,0.0022335639,0.0769,0.0769,0.0769,69.047399,734.322,829.30131,Superterran,0,Hot,0,0.27224107,K2-229,10.985,102.564,5315,0.87,0.79,G,0.40831939,1.7252966
K2-231 b,Transit,6.8,2.5,13.841901,0.11317414,1.088,0.4352,0.0021376092,0.11317414,0.11317414,0.11317414,60.326147,709.94729,801.7739,Superterran,0,Hot,0,0.25183158,K2-231,12.768,321.215,5695,1.01,0.95,G,0.77268059,2.3733608
HIP 79431 b,Radial Velocity,667.415,13.4,111.7,0.36,3.716947,0.2773841,0.02834084,0.375138,0.2556,0.4644,0.2277566,173.12616,,Jovian,0,Cold,0,0.24596505,HIP 79431,11.394,14.5324,3191,0.49,0.48,M,0.0282488,0.45379924
HIP 105854 b,Radial Velocity,2606.1,12.6,184.2,0.81,16.415344,1.3028051,0.08532709,0.810162,0.7938,0.8262,71.304484,740.19533,,Jovian,0,Hot,0,0.085409351,HIP 105854,5.64,78.6381,4780,2.1,10.31,K,46.773514,18.465614
K2-186 b,Transit,10.2,3.172,41.474219,0.23599083,1.0137569,0.31959549,0.0050856567,0.23599083,0.23599083,0.23599083,20.14697,539.69966,,Neptunian,0,Hot,0,0.26147757,K2-186,12.413,330.739,5784,1.02,0.98,G,1.1220185,2.8599851
HD 7924 d,Radial Velocity,6.44,2.42,24.451,0.1551,1.0996517,0.45440151,0.002426387,0.15851995,0.122529,0.187671,16.389669,508.25596,573.99524,Superterran,0,Hot,0,0.30876894,HD 7924,7.17896,16.9922,5075,0.83,0.78,K,0.38547836,1.6763464
HIP 109384 b,Radial Velocity,495.8148,13.5,499.48,1.134,2.7205202,0.20152001,0.043986203,1.3048944,0.511434,1.756566,0.44633394,195.02964,,Jovian,1,Warm,0,0.33302785,HIP 109384,9.61,58.9582,5180,0.78,0.83,G,0.47973345,1.8700954
K2-111 b,Transit,5.58,1.82,5.3518,0.0565,1.6845792,0.92559294,0.00095615399,0.0567825,0.05085,0.06215,598.52943,1257.6313,1420.2969,Superterran,0,Hot,0,0.26587049,K2-111,11.13,200.394,5775,0.84,1.25,G,1.9010783,3.7227491
HIP 5158 b,Radial Velocity,451,13.6,345.72,0.89,2.4383651,0.17929155,0.035599492,1.010328,0.4272,1.3528,0.16243424,152.65559,,Jovian,0,Cold,0,0.2050307,HIP 5158,10.16,51.6026,4962,0.78,0.75,K,0.10990058,0.89508394
HD 8574 b,Radial Velocity,645.1949,13.4,227,0.76,3.5931995,0.26814922,0.041708598,0.7942,0.532,0.988,4.3137217,360.73571,,Jovian,0,Hot,0,0.2481991,HD 8574,7.12,44.8264,6064,1.34,1.38,F,2.3768403,4.1625912
HD 86950 b,Radial Velocity,1144.188,13,1270,2.72,6.7703432,0.52079563,0.19947816,2.759304,2.2576,3.1824,4.98001,378.46412,,Jovian,0,Hot,0,0.23264942,HD 86950,7.47,209.839,4805,1.66,8.8,K,36.307805,16.269109
HD 168863 b,Radial Velocity,2154.8766,12.7,14773.933,10.961,13.360262,1.0519891,1.2402335,11.152648,8.911293,13.010707,0.002673185,57.539553,,Jovian,0,Cold,0,0.072987305,HD 168863,9.35,39.8979,4905,0.8,0.78,K,0.31550046,1.5165746
HD 181234 b,Radial Velocity,2980.9126,12.5,7593.4051,7.427,19.077841,1.5262273,0.29905865,9.3842967,2.034998,12.819002,0.02098831,84.907991,,Jovian,0,Cold,0,0.093050599,HD 181234,8.59,47.7458,5386,0.94,1.06,G,0.79615935,2.4091496
HD 190228 b,Radial Velocity,1598.6769,12.9,1143.5986,2.406,9.6068559,0.74471751,0.11041047,2.7819146,1.061046,3.750954,1.0369705,240.10234,,Jovian,1,Warm,0,0.39449919,HD 190228,7.3,62.7146,5360,1.42,2.59,G,4.9773708,6.023706
HD 90156 b,Radial Velocity,17.98,4.43,49.77,0.25,0.91618301,0.20681332,0.0047908343,0.2620125,0.1725,0.3275,12.107648,466.33887,,Neptunian,0,Hot,0,0.25262777,HD 90156,6.92,21.9496,5599,0.84,0.92,G,0.71944898,2.2901491
HD 95089 b,Radial Velocity,400.4658,13.7,464.4,1.36,2.1336555,0.15574128,0.076497687,1.3696295,1.19816,1.52184,7.3454632,418.25816,,Jovian,0,Hot,0,0.18620265,HD 95089,7.92,136.957,4918,1.54,5.08,G,13.489629,9.9166221
K2-108 b,Transit,59.4,5.33,4.733999,0.0581,2.0908941,0.39228781,0.001764583,0.05904122,0.047642,0.068558,765.24377,1331.6022,,Neptunian,0,Hot,0,0.14480908,K2-108,12.339,477.295,5599,1.17,1.76,G,2.5409727,4.3039158
HD 99109 b,Radial Velocity,139.8452,14.3,439.29999,1.11,0.68387305,0.04782329,0.057468202,1.1144955,1.0101,1.2099,0.5484286,218.88595,,Jovian,1,Warm,0,0.35165644,HD 99109,9.1,54.7901,5282,0.76,0.98,G,0.67297666,2.2149492
Kepler-4 b,Transit,24.472,4.002,3.21346,0.0456,1.5279716,0.38180201,0.0012393291,0.0456,0.0456,0.0456,1086.6015,1462.5721,,Neptunian,0,Hot,0,0.17643535,Kepler-4,12.285,487.916,5857,1.22,1.49,G,2.2594358,4.0584833
NGTS-21 b,Transit,750.07504,14.908,1.5433897,0.0236,3.3749391,0.22638443,0.0023930659,0.0236,0.0236,0.0236,519.01032,1215.8884,,Jovian,0,Hot,0,0.062801245,NGTS-21,15.506,592.891,4660,0.72,0.86,K,0.28906799,1.4516562
K2-148 d,Transit,3.33,1.64,9.7579,0.0774,1.2381023,0.75494044,0.0013346575,0.0774,0.0774,0.0774,16.846826,516.0945,582.84764,Superterran,0,Hot,0,0.34915497,K2-148,13.627,124.458,4079,0.65,0.63,K,0.10092529,0.857756
HD 85512 b,Radial Velocity,3.6,1.72,58.43,0.26,1.216874,0.70748488,0.0046999505,0.261573,0.2314,0.2886,2.4986004,319.54611,360.87712,Superterran,0,Hot,0,0.64394749,HD 85512,7.67,11.281,4300,0.43,0.71,K,0.1678804,1.1062767
Kepler-1926 b,Transit,5.97,2.315,42.877701,0.2197,1.113967,0.48119526,0.0043495384,0.2197,0.2197,0.2197,4.6702474,374.48522,422.92221,Superterran,0,Hot,0,0.46318998,Kepler-1926,15.8,667.405,5256,0.77,0.83,K,0.22542392,1.2819284
Kepler-1810 b,Transit,14.6,3.918,101.133,0.4137,0.95109521,0.24275018,0.010399021,0.4137,0.4137,0.4137,4.0609623,361.62375,,Neptunian,0,Hot,0,0.40089805,Kepler-1810,15.4,1009.87,5492,0.92,1.02,G,0.69502432,2.2509392
HD 96063 b,Radial Velocity,403.6441,13.7,362.5,1.11,2.1505893,0.15697732,0.061321438,1.1260395,0.9213,1.2987,10.464586,455.6671,,Jovian,0,Hot,0,0.15503423,HD 96063,8.21,140.065,5020,1.37,4.75,G,12.705741,9.6241806
